CONFIRM_NUM,RENTER_LAST,CLAIM,CDP,CDP NAME,Week Of,INIT_DATE,HTZREGION,SET_STATE,ZONE,AREA_MGR,GENERAL_MGR,RENT_LOC,RES_ID,RENT_IND,CANCEL_ID,UNUSED_IND,CONTACT_GROUP,New Contact Group,CONTACT RANGE,ADJ LNAME,ADJ FNAME,BODY SHOP,CODE,KNUM,MONTH,ZIP,CANCEL REASON,INIT_DT_FINAL,DT_FROM_ALPHA1,DAY_DIF,HRS_DIF,MIN_DIF,MMR
242-SAMPLE0492,CUSTOMER_0300,CLAIM_0036,1238321,CDP_0091,2025-11-24,2025-11-22,LICENSEE,MS,LICENSEE,,GEN_MGR_0012,93156-02   - GOLDEN TRIANGLE AP HLE,1,0,1,0,NO CONTACT,NO CONTACT,NO CONTACT,,ADJUSTER_0072,BODY_SHOP_0262,STF02,242-SAMPLE0198,202511,ZIP_0149, ,2025-11-22 17:34:00,,,,,NO MMR
037-SAMPLE0221,CUSTOMER_0448,CLAIM_0234,1835059,CDP_0068,2025-11-10,2025-11-12,CENTRAL,CO,WC,AREA_MGR_0010,GEN_MGR_0022,7829-04    - BROOMFIELD DOWNTOWN HLE,1,0,0,1,COUNTER,COUNTER,(c)1-3 hrs,,ADJUSTER_0217,,PRO01,037-SAMPLE0084,202511,ZIP_0264, ,2025-11-12 12:54:00,2025-11-12 14:00:00,0.0,2.0,66.0,NO MMR
037-SAMPLE0019,CUSTOMER_0156,CLAIM_0321,1238321,CDP_0091,2025-12-08,2025-12-11,CENTRAL,TX,SW,AREA_MGR_0054,GEN_MGR_0059,7616-04    - MCKINNEY HLE,1,0,1,0,HRD - OKC,HRD - OKC,(b)31min - 1hr,,ADJUSTER_0072,BODY_SHOP_0056,STF02,037-SAMPLE0008,202512,ZIP_0235, ,2025-12-11 19:23:00,2025-12-11 19:55:00,0.0,0.0,32.0,NO MMR
037-SAMPLE0274,CUSTOMER_0007,CLAIM_0170,1162232,CDP_0094,2025-11-17,2025-11-18,EASTERN,MD,MA,AREA_MGR_0113,GEN_MGR_0030,5894-02    - ODONNELL CATONSVILLE,1,0,1,0,HRD - OKC,HRD - OKC,(d)3-6 hrs,,ADJUSTER_0070,,STF02,037-SAMPLE0101,202511,ZIP_0068, ,2025-11-18 09:16:00,2025-11-18 12:34:00,0.0,3.0,198.0,NO MMR
037-SAMPLE0247,CUSTOMER_0245,CLAIM_0416,1238321,CDP_0091,2025-11-10,2025-11-14,WESTERN,CA,SPAC,AREA_MGR_0033,GEN_MGR_0019,5725-01    - GLENDALE HLE,1,0,1,0,HRD - OKC,HRD - OKC,(c)1-3 hrs,,ADJUSTER_0072,BODY_SHOP_0139,STF02,037-SAMPLE0092,202511,ZIP_0300, ,2025-11-14 15:32:00,2025-11-14 16:43:00,0.0,1.0,71.0,NO MMR
037-SAMPLE0111,CUSTOMER_0134,CLAIM_0470,1936832,CDP_0058,2025-12-29,2025-12-29,WESTERN,CA,SPAC,AREA_MGR_0009,GEN_MGR_0056,7130-01    - WHITTIER HLE,1,0,0,1,COUNTER,COUNTER,(a)<30min,,ADJUSTER_0178,,MER01,037-SAMPLE0041,202512,ZIP_0295, ,2025-12-29 12:32:00,2025-12-29 12:39:00,0.0,0.0,7.0,NO MMR
037-SAMPLE0300,CUSTOMER_0445,CLAIM_0203,1908842,CDP_0060,2025-11-17,2025-11-19,CENTRAL,TX,SW,AREA_MGR_0099,GEN_MGR_0041,7601-34    - CHAMPION FOREST HLE,1,0,0,1,HRD - OKC,HRD - OKC,(f)12-24 hrs,,ADJUSTER_0250,,GNL01,037-SAMPLE0115,202511,ZIP_0246, ,2025-11-19 19:06:00,2025-11-20 10:20:00,1.0,15.0,914.0,NO MMR
037-SAMPLE0352,CUSTOMER_0002,CLAIM_0196,1162232,CDP_0094,2025-11-24,2025-11-25,CENTRAL,MN,MW,AREA_MGR_0071,GEN_MGR_0024,5346-01    - HERTZ AT THE UNION DEPOT,1,0,0,1,COUNTER,COUNTER,(b)31min - 1hr,,ADJUSTER_0070,,STF02,037-SAMPLE0142,202511,ZIP_0182, ,2025-11-25 17:17:00,2025-11-25 17:55:00,0.0,0.0,38.0,NO MMR
037-SAMPLE0055,CUSTOMER_0159,CLAIM_0161,1238321,CDP_0091,2025-12-15,2025-12-17,EASTERN,ME,NE,AREA_MGR_0036,GEN_MGR_0038,7797-15    - PORTLAND HLE,1,0,0,1,COUNTER,COUNTER,(b)31min - 1hr,,ADJUSTER_0072,BODY_SHOP_0222,STF02,037-SAMPLE0016,202512,ZIP_0022, ,2025-12-17 15:15:00,2025-12-17 16:09:00,0.0,1.0,54.0,NO MMR
037-SAMPLE0156,CUSTOMER_0407,CLAIM_0220,1516891,CDP_0076,2025-11-03,2025-11-05,EASTERN,NC,MA,AREA_MGR_0055,GEN_MGR_0060,5879-15    - HIGH POINT HLE,1,0,0,1,HRD - OKC,HRD - OKC,(c)1-3 hrs,,ADJUSTER_0102,BODY_SHOP_0003,PRO01,037-SAMPLE0061,202511,ZIP_0080, ,2025-11-05 09:31:00,2025-11-05 10:44:00,0.0,1.0,73.0,NO MMR
